game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
73,familygames,566,6,1,No necessary in-game text,6.98718,6.19196,1802,2.0938,2041,2024-01-25 10:08:12
74,boardgame,6781,6,2,Extensive use of text - massive conversion needed to be playable,5.75698,5.64388,19112,1.1551,29240,2024-01-25 10:08:12
74,partygames,700,6,2,Extensive use of text - massive conversion needed to be playable,5.75698,5.64388,19112,1.1551,29240,2024-01-25 10:08:12
75,boardgame,23435,6,1,Some necessary text - easily memorized or small crib sheet,5.4957,5.48674,1420,1.218,2474,2024-01-25 10:08:12
75,partygames,799,6,1,Some necessary text - easily memorized or small crib sheet,5.4957,5.48674,1420,1.218,2474,2024-01-25 10:08:12
76,boardgame,5104,5,2,No necessary in-game text,6.40582,5.73298,780,2.5484,1024,2024-01-25 10:08:12
76,strategygames,1908,5,2,No necessary in-game text,6.40582,5.73298,780,2.5484,1024,2024-01-25 10:08:12
77,boardgame,2696,2,2+,No necessary in-game text,7.67817,6.02981,688,3.6,1157,2024-01-25 10:08:12
77,wargames,135,2,2+,No necessary in-game text,7.67817,6.02981,688,3.6,1157,2024-01-25 10:08:12
78,boardgame,7968,2,1,Moderate in-game text - needs crib sheet or paste ups,6.8596,5.60693,190,3.4706,576,2024-01-25 10:08:12
78,wargames,1177,2,1,Moderate in-game text - needs crib sheet or paste ups,6.8596,5.60693,190,3.4706,576,2024-01-25 10:08:12
79,boardgame,12134,2,1,Moderate in-game text - needs crib sheet or paste ups,6.34016,5.54593,127,3.0769,422,2024-01-25 10:08:12
79,wargames,2280,2,1,Moderate in-game text - needs crib sheet or paste ups,6.34016,5.54593,127,3.0769,422,2024-01-25 10:08:12
82,boardgame,5857,2,1,Moderate in-game text - needs crib sheet or paste ups,6.74752,5.68599,370,2.9216,966,2024-01-25 10:08:12
82,wargames,828,2,1,Moderate in-game text - needs crib sheet or paste ups,6.74752,5.68599,370,2.9216,966,2024-01-25 10:08:12
83,boardgame,11304,2,1,No necessary in-game text,6.43448,5.55394,145,2.8519,486,2024-01-25 10:08:12
83,wargames,2039,2,1,No necessary in-game text,6.43448,5.55394,145,2.8519,486,2024-01-25 10:08:12
84,boardgame,2026,2,1,No necessary in-game text,7.54783,6.19074,1071,3.4,2386,2024-01-25 10:08:12
84,wargames,107,2,1,No necessary in-game text,7.54783,6.19074,1071,3.4,2386,2024-01-25 10:08:12
85,boardgame,3717,2,1,No necessary in-game text,6.94799,5.86582,738,2.1279,1320,2024-01-25 10:08:12
85,wargames,450,2,1,No necessary in-game text,6.94799,5.86582,738,2.1279,1320,2024-01-25 10:08:12
87,boardgame,6772,2,1,No necessary in-game text,6.37533,5.64409,425,2.5962,849,2024-01-25 10:08:12
87,wargames,1261,2,1,No necessary in-game text,6.37533,5.64409,425,2.5962,849,2024-01-25 10:08:12
88,boardgame,711,4,1,Some necessary text - easily memorized or small crib sheet,7.09217,6.78189,9638,2.86,13879,2024-01-25 10:08:13
88,abstracts,32,4,1,Some necessary text - easily memorized or small crib sheet,7.09217,6.78189,9638,2.86,13879,2024-01-25 10:08:13
