game_id,name,type,year_published,min_players,max_players,min_play_time,max_play_time,min_age,thumbnail
3038,Rhombo Continuo,boardgame,1998,1,5,20,20,5,https://cf.geekdo-images.com/s89f31lLmfDB8Z8tu_g4Sw__thumb/img/S42OL05DiVsCv3psBL1PYrLPBns=/fit-in/200x150/filters:strip_icc()/pic44537.jpg
3039,Swordquest,boardgame,1979,1,3,90,90,12,https://cf.geekdo-images.com/u8DvkrPQBwGTpfj15yEQgA__thumb/img/qYCqTU8oTXTInAgCb8RhTLPSQt0=/fit-in/200x150/filters:strip_icc()/pic4976262.png
3040,Star Trek: Starship Tactical Combat Simulator,boardgame,1983,2,6,30,120,10,https://cf.geekdo-images.com/GRqKaj-CSbLudpAsJnv10A__thumb/img/AjPS4amqKAkmk0BriU1XGqeWIm4=/fit-in/200x150/filters:strip_icc()/pic193037.jpg
3041,Panzergruppe Guderian,boardgame,1976,2,2,180,300,14,https://cf.geekdo-images.com/9qeztvPY0HggjQ0rR-XJ4g__thumb/img/oJ9QTtkb3caob97_UQp9QDLU-gU=/fit-in/200x150/filters:strip_icc()/pic4969198.jpg
3042,Survival / The Barbarian,boardgame,1979,1,6,30,30,8,https://cf.geekdo-images.com/aUbPfxDSWWDZzYTNSVGL9w__thumb/img/RZVmtHH3m0cV34AnsuhaUpSI7KE=/fit-in/200x150/filters:strip_icc()/pic4879239.jpg
3044,Air Assault on Crete / Invasion of Malta: 1942,boardgame,1977,2,2,240,240,12,https://cf.geekdo-images.com/6_QFwTTihRE-PBikp7SH8g__thumb/img/kAORVkqssHxaMfzzaAb9VDXCb5w=/fit-in/200x150/filters:strip_icc()/pic243417.jpg
3045,Pentantastar,boardgame,1983,2,4,120,120,12,https://cf.geekdo-images.com/LvZB1zOjL2kKVj5tiGE55A__thumb/img/YmYoCGy67591PsGYK3wbCt3bLzo=/fit-in/200x150/filters:strip_icc()/pic1753520.jpg
3046,"Red Sun/Red Star: The Nomonhan Campaign, 1939",boardgame,1993,2,2,360,360,12,https://cf.geekdo-images.com/R6mUtjtFboPeAoOClgttJg__thumb/img/QkaxGvBdHGzMtJz-o_g0B-zq1Ko=/fit-in/200x150/filters:strip_icc()/pic6523407.png
3047,Rails Through the Rockies,boardgame,1981,2,4,240,240,0,https://cf.geekdo-images.com/sYGdgIs2Pv6EW_vWWp_C6Q__thumb/img/Eya2smgL8ZwvIXr4fjE5nS3VqnU=/fit-in/200x150/filters:strip_icc()/pic16896.jpg
3048,Trivial Pursuit: Millennium Edition,boardgame,1999,2,6,60,60,15,https://cf.geekdo-images.com/EfHbP05SS1qAOs5BVf1YcA__thumb/img/7IqoHu6nLRRMGDKj7ZHOevolTz8=/fit-in/200x150/filters:strip_icc()/pic107758.jpg
3049,Blood on the Tigris,boardgame,1995,2,2,360,360,12,https://cf.geekdo-images.com/EUGr7JgeALl53sitQUYHCg__thumb/img/_-qbIuogxLW7v4k9lvLyW6bEeQQ=/fit-in/200x150/filters:strip_icc()/pic196862.jpg
3050,"Napoleon at Bay: Defend the Gates of Paris, 1814",boardgame,1997,2,2,180,180,0,https://cf.geekdo-images.com/bhgmEA4TGvHG8rmYPdXhQQ__thumb/img/Q32PyIFJ_iHeobkYNPGmvOtkzgk=/fit-in/200x150/filters:strip_icc()/pic6078321.jpg
3051,How to Host a Murder: The Last Train from Paris,boardgame,1985,8,8,180,180,12,https://cf.geekdo-images.com/ymMF93b3yXlHZS-zC77PmQ__thumb/img/UmJLwH_M-cZihz_Q1MkYQymyrAo=/fit-in/200x150/filters:strip_icc()/pic82452.jpg
3052,Sim City: The Card Game,boardgame,1994,1,99,120,120,10,https://cf.geekdo-images.com/V9K603tiOSTpZ3q9Ufvgpg__thumb/img/r56bSvtfzcV32UWjNFMXSssamwI=/fit-in/200x150/filters:strip_icc()/pic281806.jpg
3053,Bonaparte in Italy,boardgame,1979,2,2,180,180,16,https://cf.geekdo-images.com/cx1p0w8AVIPCgifRNnAnnw__thumb/img/0tUIkALVLCxeSjIW6XJ6JAsAhcA=/fit-in/200x150/filters:strip_icc()/pic1693142.jpg
3054,Sideshow: The Campaign for German East Africa 1914-1918,boardgame,1990,2,2,360,360,12,https://cf.geekdo-images.com/8ckYt5TfhJqqgdLYdBrggg__thumb/img/vn6lQCZgVHHW6VqUN56e9_j-zTU=/fit-in/200x150/filters:strip_icc()/pic15326.jpg
3055,Counterstrike,boardgame,1976,2,2,30,30,0,https://cf.geekdo-images.com/V8-1hrv_1rsBSSUpxLuXFQ__thumb/img/WLeKpr8s_lMxKXNPScN3Apx40QE=/fit-in/200x150/filters:strip_icc()/pic79369.jpg
3057,Warp 6,boardgame,2002,2,3,20,20,12,https://cf.geekdo-images.com/hLbpaO0KNSh5lARl8hriDA__thumb/img/hVTnLoAL8W7vENFcf5zpc1TpiVA=/fit-in/200x150/filters:strip_icc()/pic9228.jpg
3058,Schaumermal,boardgame,2001,2,2,60,60,0,https://cf.geekdo-images.com/WpIlUO8uDD3AOT1zcRqadw__thumb/img/Ud_z6OStiOJB3tSykPW3ZcPwX8Y=/fit-in/200x150/filters:strip_icc()/pic26994.jpg
3059,Rebound,boardgame,1971,2,4,10,10,8,https://cf.geekdo-images.com/J7XKHkqJYEb0X3MOWsMfsw__thumb/img/7GwITqfvqLa_atr8-FWCAipPU1U=/fit-in/200x150/filters:strip_icc()/pic453889.jpg
3060,Detour!,boardgame,1999,2,4,30,30,8,https://cf.geekdo-images.com/pO83DhKX88Qz6oMQ5Rr7eg__thumb/img/0CpipXi6EItN6ytqwxyxQn3POeU=/fit-in/200x150/filters:strip_icc()/pic44826.jpg
3061,Samurai,boardgame,1996,2,2,180,180,12,https://cf.geekdo-images.com/_W8U5vMylfaeDqbPGPOvUQ__thumb/img/8GaWcl-odWRupInuqGckkl3UwFM=/fit-in/200x150/filters:strip_icc()/pic183104.jpg
3062,Pyramis,boardgame,1991,2,2,20,20,8,https://cf.geekdo-images.com/ZTX6GXTid0jpJdICCozYoQ__thumb/img/fNUTcilfbyVer2Ev8Wy7QldGxSw=/fit-in/200x150/filters:strip_icc()/pic6847768.jpg
3063,March Madness,boardgame,1991,2,64,45,45,10,https://cf.geekdo-images.com/YzAP4an8q0DrZCRwzOmDfg__thumb/img/QGmZHMJK5wls6GycvS9bVIsiV7E=/fit-in/200x150/filters:strip_icc()/pic12014.jpg
3064,CribbGolf,boardgame,1988,2,6,60,60,12,https://cf.geekdo-images.com/DZ_cW3CxwppEWMCPZSnI2A__thumb/img/ETGx3CR484iSnJaFxLDNJbj4yWg=/fit-in/200x150/filters:strip_icc()/pic4714322.jpg
3065,Monopoly: Stock Exchange,boardgame,2001,2,6,120,120,8,https://cf.geekdo-images.com/kkJrUPoayp_xE4DmEwxbiA__thumb/img/_8-EgkIH7JBE5gE6c0f8ASLS5FY=/fit-in/200x150/filters:strip_icc()/pic6433305.png
3066,Zone X,boardgame,1975,2,2,10,10,8,https://cf.geekdo-images.com/0w0Z0LA3HQzb15z16NAKeg__thumb/img/Ut2xT8pd2I0JjX801ZfjxqF_g94=/fit-in/200x150/filters:strip_icc()/pic144314.jpg
3067,James Clavell's Shogun Card Game,boardgame,1983,3,8,60,60,10,https://cf.geekdo-images.com/WSaXjSeHXZW9SaI3JfJaTA__thumb/img/Ur3gosk4053QuwRh-RKHZdrrTt0=/fit-in/200x150/filters:strip_icc()/pic1513930.jpg
3068,Komme Gleich,boardgame,1996,2,6,30,30,10,https://cf.geekdo-images.com/KXg0jZqj8kIDQPJgvimtUg__thumb/img/dQi-50lh5v2TqSgLyN0iSn_oNus=/fit-in/200x150/filters:strip_icc()/pic293964.jpg
3069,Triangle Game,boardgame,2001,3,3,20,20,0,https://cf.geekdo-images.com/NGrJEHRY3Nuf7h8U5vCovw__thumb/img/EMlcdx418xvpKb5r-K-djvm23Y4=/fit-in/200x150/filters:strip_icc()/pic9230.jpg
3070,Red Parachutes: Soviet Airborne Assault Across the Dnepr,boardgame,1995,2,2,360,360,14,https://cf.geekdo-images.com/n5QO-jArIgKagxbYnwh8BA__thumb/img/D-MK2blT7Jrcs-3qa2FffOB0Efo=/fit-in/200x150/filters:strip_icc()/pic162436.jpg
3071,Blood Bowl,boardgame,1986,2,2,120,120,12,https://cf.geekdo-images.com/AkZA87YoITHP2yXewBdY1Q__thumb/img/OJF6hC6QXLGJo7W3H8EfqRxWfys=/fit-in/200x150/filters:strip_icc()/pic1447685.jpg
3072,Necromunda,boardgame,1995,2,4,30,30,12,https://cf.geekdo-images.com/1q6wuFJGZ7Qb7MxMobepnA__thumb/img/IfNjBBi5msomTrGDvU1-mxvkVUg=/fit-in/200x150/filters:strip_icc()/pic1518402.jpg
3073,Just Wait,boardgame,1998,3,5,30,30,0,https://cf.geekdo-images.com/XkrBGMwModAVGOAPkabd_g__thumb/img/G5dm7sL6rhdoCV-QAgP701ad6P8=/fit-in/200x150/filters:strip_icc()/pic264315.jpg
3074,Uncle Wiggily,boardgame,1916,2,4,30,30,4,https://cf.geekdo-images.com/q-FKYo96odB9UbDMaozQuw__thumb/img/MRVxERwQrO08VU_LElkKOLn71-o=/fit-in/200x150/filters:strip_icc()/pic1757836.jpg
3075,Hamlet!,boardgame,2002,3,8,45,45,12,https://cf.geekdo-images.com/36qnlH9CUCKy9aURieXXgw__thumb/img/celeqp9-KYz54qkXECpYlm_BLrk=/fit-in/200x150/filters:strip_icc()/pic5362170.jpg
3076,Puerto Rico,boardgame,2002,3,5,90,150,12,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__thumb/img/5fLo89ChZH6Wzukk36bhZ-EpBS0=/fit-in/200x150/filters:strip_icc()/pic158548.jpg
3077,The Game of Real Life,boardgame,1998,2,6,30,30,13,https://cf.geekdo-images.com/IJ1EESVzuofatnyEBdt5hw__thumb/img/zszdrRVp0oDSR-78sw-LNK8_FJg=/fit-in/200x150/filters:strip_icc()/pic92440.jpg
3078,Knockabout,boardgame,2001,2,2,20,20,10,https://cf.geekdo-images.com/hMCUvvhJkLvM4ZICs4jMFQ__thumb/img/UCw6wVuLfoSFvc-fnbLz6221-Mw=/fit-in/200x150/filters:strip_icc()/pic9226.jpg
3079,Dollars and Dibble,boardgame,2001,1,12,60,60,12,https://cf.geekdo-images.com/DUicGwMxdfp3VkEymfn-Pw__thumb/img/0RuoGbVU-MxVVR-ZJlMeN1iQRi4=/fit-in/200x150/filters:strip_icc()/pic8264.jpg
3080,RSVP: Vertical Crossword Game,boardgame,1958,2,2,60,60,6,https://cf.geekdo-images.com/-y4nNXoiQJH8Xc0sNC_YGg__thumb/img/iwYF2imT4wVTPMoRabf3sby8pPQ=/fit-in/200x150/filters:strip_icc()/pic1065631.png
3081,Rubik's Flip,boardgame,1981,2,2,10,10,8,https://cf.geekdo-images.com/-DZkkG78hj9Y6HIXWuRQSw__thumb/img/BzjrJR62yUkOsy8QqK2oJ_-N3ic=/fit-in/200x150/filters:strip_icc()/pic3855509.jpg
3082,Deception,boardgame,1975,2,5,10,10,8,https://cf.geekdo-images.com/EKXwwwDk6bnesc4AIsv15g__thumb/img/FUSGuQHYtXgU70RsLmPMoZAai2U=/fit-in/200x150/filters:strip_icc()/pic17336.jpg
3083,Submarine,boardgame,1976,1,6,60,180,12,https://cf.geekdo-images.com/vmgouzUAL66m-GmKskNKzQ__thumb/img/TYEefWxYV5rcGXatWtesJWUdQ5s=/fit-in/200x150/filters:strip_icc()/pic39818.jpg
3084,Buccaneer,boardgame,1938,2,6,90,90,8,https://cf.geekdo-images.com/KfGiUzURPKpoblpa9wY50w__thumb/img/rx5ovlyQwe4V1ajP4MdaDZk-mMo=/fit-in/200x150/filters:strip_icc()/pic506685.jpg
3085,Gang of Four,boardgame,1990,3,4,40,40,8,https://cf.geekdo-images.com/-naB4DfmUy8ER4kNRKmQPw__thumb/img/OO3U9EqQV8VTuRiwCyqsfVajshw=/fit-in/200x150/filters:strip_icc()/pic149652.jpg
3086,The Omega Virus,boardgame,1992,1,4,10,35,14,https://cf.geekdo-images.com/TjKATaXuX8odn2qNAW3COQ__thumb/img/_A11IgN9nmbyuPHJOGMF82sY0ks=/fit-in/200x150/filters:strip_icc()/pic401239.jpg
3088,Dallas,boardgame,1981,2,6,60,60,12,https://cf.geekdo-images.com/URVIwvMGZWQQ6HT0MmyrGQ__thumb/img/8--1U3CdLJHNhNTS5VcoDRkUlvA=/fit-in/200x150/filters:strip_icc()/pic4913216.jpg
3089,Bounty Hunter: Shootout at the Saloon,boardgame,1982,2,2,10,10,12,https://cf.geekdo-images.com/hnZsfVfVt5FHMKuw65oeyw__thumb/img/lwtf0U-ynT9SfTm4sOy0Xiy1Xig=/fit-in/200x150/filters:strip_icc()/pic531987.jpg
3090,Doctor Who: The Game of Time & Space,boardgame,1980,2,6,90,90,8,https://cf.geekdo-images.com/3l-VQuk2dGc2Vjjz93wNVA__thumb/img/w82krrS4f639MQb2Qf2Eo8Bd1xg=/fit-in/200x150/filters:strip_icc()/pic14058.jpg
3091,The Great Game of Britain,boardgame,1973,2,5,30,30,10,https://cf.geekdo-images.com/fDG8CjtOFw3EHoWPKznKsw__thumb/img/xW2pl4lXOSvWcqdcoBNPymbaOU8=/fit-in/200x150/filters:strip_icc()/pic150021.jpg
3092,Spritfresser,boardgame,1994,2,6,90,90,12,https://cf.geekdo-images.com/n_G79-Ar08NjRZD9Pf-onw__thumb/img/7uoN1ve7260QJW4oymakMSD6UhU=/fit-in/200x150/filters:strip_icc()/pic6799965.jpg
3093,Croak!,boardgame,1999,2,4,20,20,6,https://cf.geekdo-images.com/BOR53WaU0vKwYtDmWSsuQw__thumb/img/Atl3uy40vxliX0GOHbnph0mEWDo=/fit-in/200x150/filters:strip_icc()/pic1319089.jpg
3094,Patch Worlds,boardgame,2001,1,8,10,10,6,https://cf.geekdo-images.com/6grcWIIg-z8CVrVZEvGffg__thumb/img/tCtKUuYulRlYTk8Op6ht4JIBX5k=/fit-in/200x150/filters:strip_icc()/pic6982266.png
3095,Star Trek: The Adventure Game,boardgame,1985,1,2,120,120,10,https://cf.geekdo-images.com/Lap2CrW081l2o60uTDCYLg__thumb/img/qxwTGCn_auPvHzCuoIADBzRFgBw=/fit-in/200x150/filters:strip_icc()/pic669897.jpg
3096,Ascension at Firepeak,boardgame,2001,2,5,45,45,10,https://cf.geekdo-images.com/29oKzxp7DjqiCL5E5rFSqg__thumb/img/18q-K_jAgz5jK36ZfYo7iiQf75E=/fit-in/200x150/filters:strip_icc()/pic463783.jpg
3097,1849: The Game of Sicilian Railways,boardgame,1998,3,5,180,180,14,https://cf.geekdo-images.com/x_QbmcYgiDWe-UvJDbDFjQ__thumb/img/pnPJMCcSrsNPU5pOJgaK18PgDDw=/fit-in/200x150/filters:strip_icc()/pic5142773.jpg
3098,Verdict,boardgame,1959,2,2,20,20,12,https://cf.geekdo-images.com/DXzHlU9E2atIE0alr0vjyg__thumb/img/VU1bgR-QMK39IgbDH0eVWV9eXLg=/fit-in/200x150/filters:strip_icc()/pic264079.jpg
3099,Gettysburg,boardgame,1958,2,2,120,240,12,https://cf.geekdo-images.com/kqjRpIAhepm-O2XWo_l-Qw__thumb/img/3juQser5RnM9pG-eKLTs-U18h-o=/fit-in/200x150/filters:strip_icc()/pic89933.jpg
3100,Backpacks and Blisters,boardgame,1993,1,6,30,45,10,https://cf.geekdo-images.com/eIK0SI4BgUpDLP4Wk8Nhsw__thumb/img/hoPRmtprjQyEJXVXDYTxEdoJ3_k=/fit-in/200x150/filters:strip_icc()/pic684195.jpg
3101,Der Berg ruft,boardgame,1995,2,4,30,30,8,https://cf.geekdo-images.com/rOzokXrYgqHCRLMEF6Se5g__thumb/img/EstTmnUV0sTa1YqLPHqtUqegvAo=/fit-in/200x150/filters:strip_icc()/pic17548.jpg
3102,Banque Fatale,boardgame,1997,3,4,45,45,10,https://cf.geekdo-images.com/HIlRwraM0okN0nnRw1llaw__thumb/img/pC09hfB5KlOhl4S5CTVomEA2dhc=/fit-in/200x150/filters:strip_icc()/pic6433327.png
3103,Pitagoras,boardgame,1996,2,5,30,30,8,https://cf.geekdo-images.com/0rtHPXYBY1nBEMF-D4-lMQ__thumb/img/vU7vk5VTWPNzUIqrtlr47Yamllo=/fit-in/200x150/filters:strip_icc()/pic32064.jpg
3104,Chamäleon,boardgame,1990,2,4,30,30,4,https://cf.geekdo-images.com/H2ipgJDjraEMSyZ0PbtXSA__thumb/img/jSVigTrMWKl8GuAi3n55PxcsbAE=/fit-in/200x150/filters:strip_icc()/pic372673.jpg
3105,Bronco Ranch,boardgame,1997,2,6,30,30,6,https://cf.geekdo-images.com/sr3_2MGoho5g1EGvwMzOCw__thumb/img/ToaOVCWdv1W3kNVZvDC7s4x0DXs=/fit-in/200x150/filters:strip_icc()/pic864985.jpg
3106,Drei Chinesen mit dem Kontrabass,boardgame,1999,3,7,20,20,10,https://cf.geekdo-images.com/KJ1ZbE09e_mC2KEVFdKrlg__thumb/img/d8fka9kv_V0l2RGW0thX5qiKXvg=/fit-in/200x150/filters:strip_icc()/pic37372.jpg
3107,Mömmen,boardgame,2001,2,5,45,45,7,https://cf.geekdo-images.com/J7kbviWLmiRiNOTa_-hTvA__thumb/img/6kBKI-ziHG06uwBxVNAlLueDmTQ=/fit-in/200x150/filters:strip_icc()/pic352952.jpg
3108,Goblin,boardgame,1982,2,2,180,180,12,https://cf.geekdo-images.com/DujcR0zerPNmA-Tyq3JX9Q__thumb/img/KrWPEfVlFiv778fO8XMzVoRXVo4=/fit-in/200x150/filters:strip_icc()/pic118127.jpg
3109,Starmada X,boardgame,2000,2,2,180,180,10,https://cf.geekdo-images.com/8qO-BGEGZMaumB-hpbanXQ__thumb/img/ALDJ27xU5wKSeDkxYH1J94XJ_VE=/fit-in/200x150/filters:strip_icc()/pic160303.jpg
3110,Dragon Rage,boardgame,1982,2,2,120,120,12,https://cf.geekdo-images.com/tz5k5KHF9JGeysInK60UWQ__thumb/img/-IIPV6eEu9KB8cRo5pYZlYE6GHI=/fit-in/200x150/filters:strip_icc()/pic903879.png
3111,Daumen Drauf,boardgame,1996,2,7,20,20,12,https://cf.geekdo-images.com/VrARiIatRRqmTpIQVqccow__thumb/img/N3mckxbNbuznaKWX8wzwu9Qh3Jw=/fit-in/200x150/filters:strip_icc()/pic865012.jpg
