game_id,rank_type,rank,best_num_players,not_recommended_num_players,language_dependency,avg_rating,avg_bayes_rating,users_rated,avg_weight,total_owners,updated_at
87,boardgame,6774,2,1,Unknown,6.37533,5.64409,425,2.5962,849,2024-01-27 10:05:18
87,wargames,1261,2,1,Unknown,6.37533,5.64409,425,2.5962,849,2024-01-27 10:05:18
88,boardgame,711,4,1,Some necessary text - easily memorized or small crib sheet,7.09228,6.78197,9638,2.86,13882,2024-01-27 10:05:18
88,abstracts,32,4,1,Some necessary text - easily memorized or small crib sheet,7.09228,6.78197,9638,2.86,13882,2024-01-27 10:05:18
88,strategygames,471,4,1,Some necessary text - easily memorized or small crib sheet,7.09228,6.78197,9638,2.86,13882,2024-01-27 10:05:18
89,boardgame,5220,2,3,Extensive use of text - massive conversion needed to be playable,6.73627,5.72509,468,2.803,1159,2024-01-27 10:05:18
89,wargames,729,2,3,Extensive use of text - massive conversion needed to be playable,6.73627,5.72509,468,2.803,1159,2024-01-27 10:05:18
90,boardgame,6318,2,1,Moderate in-game text - needs crib sheet or paste ups,6.20032,5.66292,609,1.4262,1105,2024-01-27 10:05:18
90,familygames,1709,2,1,Moderate in-game text - needs crib sheet or paste ups,6.20032,5.66292,609,1.4262,1105,2024-01-27 10:05:18
91,boardgame,224,2,2+,Extensive use of text - massive conversion needed to be playable,8.05543,7.28749,5145,3.8506,9964,2024-01-27 10:05:18
91,wargames,3,2,2+,Extensive use of text - massive conversion needed to be playable,8.05543,7.28749,5145,3.8506,9964,2024-01-27 10:05:18
93,boardgame,92,5,2,Moderate in-game text - needs crib sheet or paste ups,7.73924,7.56046,27683,3.0277,27181,2024-01-27 10:05:18
93,strategygames,77,5,2,Moderate in-game text - needs crib sheet or paste ups,7.73924,7.56046,27683,3.0277,27181,2024-01-27 10:05:18
94,boardgame,948,4,2,No necessary in-game text,7.18909,6.64346,4328,2.5458,4569,2024-01-27 10:05:18
94,strategygames,542,4,2,No necessary in-game text,7.18909,6.64346,4328,2.5458,4569,2024-01-27 10:05:18
95,boardgame,4206,4,6+,No necessary in-game text,6.40994,5.81034,1056,1.381,1187,2024-01-27 10:05:18
95,familygames,1259,4,6+,No necessary in-game text,6.40994,5.81034,1056,1.381,1187,2024-01-27 10:05:18
96,boardgame,6977,2,1,Unknown,6.21075,5.63663,596,1.8333,1112,2024-01-27 10:05:18
96,thematic,1079,2,1,Unknown,6.21075,5.63663,596,1.8333,1112,2024-01-27 10:05:18
97,boardgame,5146,6,1,Some necessary text - easily memorized or small crib sheet,6.29128,5.73002,1056,2.5301,1889,2024-01-27 10:05:18
97,wargames,1396,6,1,Some necessary text - easily memorized or small crib sheet,6.29128,5.73002,1056,2.5301,1889,2024-01-27 10:05:18
98,boardgame,1739,2,1,Some necessary text - easily memorized or small crib sheet,6.57032,6.27734,11021,3.0364,15918,2024-01-27 10:05:18
98,wargames,741,2,1,Some necessary text - easily memorized or small crib sheet,6.57032,6.27734,11021,3.0364,15918,2024-01-27 10:05:18
99,boardgame,2297,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4075,2024-01-27 10:05:18
99,wargames,460,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4075,2024-01-27 10:05:18
99,thematic,504,4,4+,Some necessary text - easily memorized or small crib sheet,6.71801,6.12323,2514,2.6382,4075,2024-01-27 10:05:18
101,boardgame,3093,6,1,No necessary in-game text,6.77946,5.95646,1125,1.708,1397,2024-01-27 10:05:18
101,familygames,932,6,1,No necessary in-game text,6.77946,5.95646,1125,1.708,1397,2024-01-27 10:05:18
102,boardgame,5270,4,1,No necessary in-game text,6.20034,5.72119,926,1.7674,1481,2024-01-27 10:05:18
102,strategygames,1893,4,1,No necessary in-game text,6.20034,5.72119,926,1.7674,1481,2024-01-27 10:05:18
102,familygames,1498,4,1,No necessary in-game text,6.20034,5.72119,926,1.7674,1481,2024-01-27 10:05:18
103,boardgame,1421,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5813,2024-01-27 10:05:18
103,wargames,346,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5813,2024-01-27 10:05:18
103,thematic,358,2,1,No necessary in-game text,6.96766,6.3982,4003,3.4603,5813,2024-01-27 10:05:18
104,boardgame,6015,4,1,No necessary in-game text,6.98652,5.67765,270,2.9,369,2024-01-27 10:05:18
104,strategygames,1977,4,1,No necessary in-game text,6.98652,5.67765,270,2.9,369,2024-01-27 10:05:18
105,boardgame,1250,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8839,2024-01-27 10:05:18
105,strategygames,758,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8839,2024-01-27 10:05:18
105,familygames,380,3,1,Some necessary text - easily memorized or small crib sheet,6.7644,6.47527,7260,2.0203,8839,2024-01-27 10:05:18
106,boardgame,1427,2,1,Moderate in-game text - needs crib sheet or paste ups,6.95025,6.39702,3514,1.7483,6115,2024-01-27 10:05:18
106,strategygames,797,2,1,Moderate in-game text - needs crib sheet or paste ups,6.95025,6.39702,3514,1.7483,6115,2024-01-27 10:05:18
106,familygames,404,2,1,Moderate in-game text - needs crib sheet or paste ups,6.95025,6.39702,3514,1.7483,6115,2024-01-27 10:05:18
107,boardgame,Not Ranked,2,1,Unknown,5.72353,0,17,1,47,2024-01-27 10:05:18
107,abstracts,Not Ranked,2,1,Unknown,5.72353,0,17,1,47,2024-01-27 10:05:18
108,boardgame,2798,2,1,No necessary in-game text,6.76398,6.0095,1405,2.2866,2141,2024-01-27 10:05:18
108,abstracts,102,2,1,No necessary in-game text,6.76398,6.0095,1405,2.2866,2141,2024-01-27 10:05:18
109,boardgame,8806,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-27 10:05:18
109,strategygames,2320,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-27 10:05:18
109,familygames,2047,4,1,No necessary in-game text,6.08789,5.58972,393,2,765,2024-01-27 10:05:18
110,boardgame,3911,4,1,Moderate in-game text - needs crib sheet or paste ups,6.23423,5.8407,1884,1.9603,3158,2024-01-27 10:05:18
110,familygames,1229,4,1,Moderate in-game text - needs crib sheet or paste ups,6.23423,5.8407,1884,1.9603,3158,2024-01-27 10:05:18
111,boardgame,2777,4,2,No necessary in-game text,6.64261,6.01202,1672,2.4233,2273,2024-01-27 10:05:18
111,strategygames,1282,4,2,No necessary in-game text,6.64261,6.01202,1672,2.4233,2273,2024-01-27 10:05:18
112,boardgame,982,5,2,No necessary in-game text,6.87797,6.62009,10073,1.9588,13061,2024-01-27 10:05:18
112,strategygames,634,5,2,No necessary in-game text,6.87797,6.62009,10073,1.9588,13061,2024-01-27 10:05:18
113,boardgame,6208,4,1,No necessary in-game text,6.72187,5.66855,327,1.8636,576,2024-01-27 10:05:18
113,strategygames,2009,4,1,No necessary in-game text,6.72187,5.66855,327,1.8636,576,2024-01-27 10:05:18
114,boardgame,15027,6,1,Unknown,6.33625,5.52771,80,1.625,139,2024-01-27 10:05:18
115,boardgame,1609,6,2,No necessary in-game text,6.77356,6.31638,3867,1.9684,4385,2024-01-27 10:05:18
115,strategygames,921,6,2,No necessary in-game text,6.77356,6.31638,3867,1.9684,4385,2024-01-27 10:05:18
115,familygames,493,6,2,No necessary in-game text,6.77356,6.31638,3867,1.9684,4385,2024-01-27 10:05:18
